,children_under_5_total__number_of_children_under_5,stunting_prevalence_under5_pct,anemia_prevalence_under5_pct,vaccination_measles_first_dose_mcv1,vaccination_hepatitis_b_hepb3,vaccination_diphtheria_tetanus_pertussis_dtp3,vaccination_polio_pol3,vaccination_h_influenzae_type_b_hib3,child_mortality_deaths_per_100_live_births,low_birthweight_pct,stillbirths_per_100_births,gdp_constant_2015_usd,gdp_per_capita_ppp_constant_2021_intl_usd,human_development_index,sex_ratio_at_birth_males_per_100_females,malaria_incidence_rate,malaria_prevalence_rate,under5_mortality_rate,acute_hepatitis_b_incidence_rate,acute_hepatitis_c_incidence_rate,diarrheal_diseases_incidence_rate,neonatal_encephalopathy_due_to_birth_asphyxia_and_trauma_incidence_rate,neonatal_preterm_birth_incidence_rate,neonatal_sepsis_and_other_neonatal_infections_incidence_rate,nutritional_deficiencies_incidence_rate,temp_mean_c,temp_max_c,temp_min_c,rel_humidity_pct,rain_mm_year,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,mortality_under5_malaria
neonatal_preterm_birth_incidence_rate,-0.05847856493811517,0.26495283512812434,0.5052298269942754,-0.29058977160993155,-0.25706932637399027,-0.2915112558348384,-0.27760944483163,-0.2906458210412424,0.4096025693069569,0.6944239175610396,0.4004735272817358,-0.17038273964301343,-0.28460050148632143,-0.4826430680047761,-0.14974915910323391,0.22106978449716297,0.21122098691156502,0.42944135619508905,0.3173187562064893,0.3076230405627274,0.3501054841889688,0.47215691985867375,1.0,0.3457129780668097,0.34152294042534864,0.38638663051708116,0.32035172667884326,0.2386368785533633,-0.15875766184551438,0.023743413095368784,-0.3653645421072217,-0.4863346491902039,-0.4945129056175871,-0.44759573158954646,0.24786432881424675
neonatal_sepsis_and_other_neonatal_infections_incidence_rate,-0.08898316442254163,0.42234864823319684,0.06245892167158333,-0.16386211500371464,-0.20679171265287183,-0.1787503724938722,-0.16412258344823302,-0.20688602820901011,0.39579047551728064,0.29309618294809303,0.38308679619582287,-0.1254754145526308,-0.18095636588683262,-0.3840545515495618,-0.38915078039386997,0.0056078286559073254,0.019636602798805677,0.39691051822484,0.26970111590292434,-0.16135882446658026,0.32290179051091195,0.4160021453074248,0.3457129780668097,1.0,0.2752896608465995,-0.2194140112347687,-0.003680336480276103,-0.3087669237089198,-0.08357570728158968,-0.07785290718750305,-0.08242554075870205,-0.2530119032109304,-0.40310472983767603,-0.19359440826988766,0.07220422491096619
nutritional_deficiencies_incidence_rate,0.03897985819575922,0.440815243918087,0.5969129901243677,-0.47377970289696275,-0.4990447702459879,-0.48289838217700265,-0.4796025387630069,-0.5094669664101752,0.6595751781451966,0.31278137446723336,0.6359137075147842,-0.15315338493121264,-0.47685792914970965,-0.6678549032492926,-0.11212284017161182,0.4200632754614611,0.4085171563693692,0.7145905291873118,0.5434103562761692,0.3430929204148491,0.5204293824491673,0.45176711882880516,0.34152294042534864,0.2752896608465995,1.0,0.2665469749089544,0.2293059829575052,0.15231945217607032,-0.11616405977185804,0.022428483922532164,-0.5263663942111129,-0.5946440897494341,-0.48188786402772626,-0.6071687190308852,0.42867976940952196
temp_mean_c,0.02490070550625003,-0.008002223556910396,0.6043791769739498,-0.3566625565351219,-0.3003648850311408,-0.345217351559957,-0.3344466277464097,-0.3244771424908851,0.31063587822657535,0.3529055008222353,0.3038449045605053,-0.17381757152552357,-0.20779935883133546,-0.37860093800159916,0.07182393133152887,0.35272692315686066,0.3420200633407131,0.3049118885615021,0.29623238469150326,0.45035375652590276,0.2697842473077519,0.2588066518972951,0.38638663051708116,-0.2194140112347687,0.2665469749089544,1.0,0.6400278035635235,0.8490951007037257,-0.09865892859738573,0.0347269636981692,-0.5203128127857656,-0.4138815043770187,-0.31403144252209086,-0.4700135827313097,0.2886321035915045
temp_max_c,0.0836977325207948,-0.031390270374376465,0.23075784850383713,-0.15976074150967307,-0.10366492240738075,-0.17800101892876777,-0.17107284679011275,-0.13845509264328823,0.22027909402610638,0.24029243259868716,0.197264522616401,0.0867052852279321,-0.11488455920004978,-0.26645332407506156,0.2149603007026545,0.0535538970606637,0.07366643609153063,0.20132908728499546,0.20679784343456115,0.02236302020932432,0.1672304986232491,0.052502560460189536,0.32035172667884326,-0.003680336480276103,0.2293059829575052,0.6400278035635235,1.0,0.15739254382836382,-0.6892902728554423,-0.445738640881241,-0.5317420916913403,-0.23080617037698906,-0.018777814888268154,-0.31620335202075983,0.05681832941646244
temp_min_c,-0.029591204981764218,-0.011599865209015578,0.5932984518119154,-0.3278849056087098,-0.3009164793105835,-0.30940149308371856,-0.3009057464410221,-0.30943630498500024,0.23590669310313986,0.25888304920960786,0.23367052114490344,-0.27071152850034674,-0.16935289572129372,-0.2843654618933244,-0.03319500184933953,0.41411673658144266,0.3889281230632315,0.24415507284585702,0.21977262138921125,0.5586191820361548,0.2256853650148002,0.2840487258671196,0.2386368785533633,-0.3087669237089198,0.15231945217607032,0.8490951007037257,0.15739254382836382,1.0,0.38955349391678096,0.3568457793915183,-0.2970266169049354,-0.36149125778119434,-0.37505607819547965,-0.3832428542503194,0.3279169575325545
rel_humidity_pct,-0.08198718567483368,0.06144828145581257,0.17817952078165833,-0.059984825792187446,-0.07236451807439159,-0.03652746449586162,-0.050387180266504884,-0.03660549001760175,0.021586956301218013,-0.06188713510219754,0.011279213040844302,-0.22338688377144228,-0.04361865263011752,0.01872630272778673,-0.3194615289435346,0.3195703645583446,0.29879685000350564,0.03449055229623006,-0.0576400824026704,0.27774814427097244,-0.013897256618391952,0.16395126597008308,-0.15875766184551438,-0.08357570728158968,-0.11616405977185804,-0.09865892859738573,-0.6892902728554423,0.38955349391678096,1.0,0.7799289896747176,0.3420149961878899,-0.06607524030160009,-0.2845360050546743,0.022540740316249717,0.20499428799572494
rain_mm_year,-0.026208796158086252,0.1780155038636983,0.414427078351951,-0.24069440633475908,-0.17021051189173333,-0.19946622804211478,-0.21537653024527992,-0.1382295953049755,0.21638345844045923,0.06111127972112653,0.13000397115592663,-0.21578312516758885,-0.04318349198274045,-0.1272690356643087,-0.3366764116827945,0.5000313565267732,0.4720849734436415,0.20450411676444305,0.017972029626660165,0.3300753978449353,0.057349791371528444,0.18314455226986603,0.023743413095368784,-0.07785290718750305,0.022428483922532164,0.0347269636981692,-0.445738640881241,0.3568457793915183,0.7799289896747176,1.0,0.21611565830226614,-0.23620767624362551,-0.34781419733184515,-0.14593468328694573,0.3987492542735969
female_primary_gross_enrol,-0.12471167369316302,-0.17298571782473132,-0.4569818872836336,0.4804733352589517,0.47405846762343656,0.5229491335714287,0.49402647845621955,0.5093231774369483,-0.5517097165841468,-0.39778538106559996,-0.5951041262083001,-0.009682871791700255,0.17704329478307176,0.5382121289198555,-0.24033816795577875,-0.2692402112266059,-0.30212993397118254,-0.5296690792729603,-0.4695073526640283,-0.27343860875483,-0.383277192636264,-0.2773063340381802,-0.3653645421072217,-0.08242554075870205,-0.5263663942111129,-0.5203128127857656,-0.5317420916913403,-0.2970266169049354,0.3420149961878899,0.21611565830226614,1.0,0.48558202081283264,0.2517320473197487,0.6878037191082795,-0.3360035329819614
female_secondary_gross_enrol,-0.07941938123147285,-0.6945085053301759,-0.7228134669556662,0.549297403998759,0.5532291834052048,0.5622432803170462,0.5534852544880381,0.557420892623865,-0.7560760412589127,-0.4914339526329641,-0.7442382532929275,0.33939446270847223,0.622324190544519,0.9099921890320563,0.27020718554829265,-0.5645162168132729,-0.5557009014926981,-0.7718637235380363,-0.5072995041932468,-0.6381453081747647,-0.7311341190233603,-0.732646146571962,-0.4863346491902039,-0.2530119032109304,-0.5946440897494341,-0.4138815043770187,-0.23080617037698906,-0.36149125778119434,-0.06607524030160009,-0.23620767624362551,0.48558202081283264,1.0,0.8004201572509717,0.888433939024213,-0.575516072658599
female_tertiary_gross_enrol,-0.020963082736643407,-0.5848319947817846,-0.6643029500358074,0.3972549870758106,0.391977179596123,0.3826931913200268,0.3876928159361857,0.37290719055728433,-0.5740903479022761,-0.4713227413018061,-0.5919048461924574,0.35918589750132685,0.5937237092935064,0.7657335043651529,0.48723054865026316,-0.43883206098545435,-0.4170104635552323,-0.5992120058850146,-0.39577365126463926,-0.5689094188014313,-0.58144001700012,-0.6669950534835621,-0.4945129056175871,-0.40310472983767603,-0.48188786402772626,-0.31403144252209086,-0.018777814888268154,-0.37505607819547965,-0.2845360050546743,-0.34781419733184515,0.2517320473197487,0.8004201572509717,1.0,0.614029377533882,-0.4115454685356588
female_primary_completion_rate,-0.03085647933927158,-0.5807148861497244,-0.6894104669330755,0.643995675562332,0.642030365774515,0.6645440137021014,0.6477177465049547,0.65842397247692,-0.7810299475760527,-0.510886842613291,-0.7645479882878417,0.26618112698651597,0.4486807794650109,0.85025213892411,0.0792148202669178,-0.5399510677936806,-0.5440326351587498,-0.7832077503533186,-0.5422848600776562,-0.5510856874279028,-0.7011659086736487,-0.6703232263339988,-0.44759573158954646,-0.19359440826988766,-0.6071687190308852,-0.4700135827313097,-0.31620335202075983,-0.3832428542503194,0.022540740316249717,-0.14593468328694573,0.6878037191082795,0.888433939024213,0.614029377533882,1.0,-0.5784439722228053
mortality_under5_malaria,0.15326868230696145,0.46850694447504626,0.7144286641449262,-0.40473436356929493,-0.3897867450435732,-0.41837930598422435,-0.42339137288569156,-0.4228665605982222,0.6655789013133686,0.21878695003627452,0.41425863457613926,-0.13114265699581415,-0.27757114316079795,-0.5460784426884694,-0.21811727148322385,0.8818601253026734,0.8878891873718635,0.7267064341679895,0.3553914566148046,0.5810656291263895,0.4619389479362825,0.4453823904557304,0.24786432881424675,0.07220422491096619,0.42867976940952196,0.2886321035915045,0.05681832941646244,0.3279169575325545,0.20499428799572494,0.3987492542735969,-0.3360035329819614,-0.575516072658599,-0.4115454685356588,-0.5784439722228053,1.0
